resto_id,resto_name,url,kota,rating,preferred,opening_id
141,nasta nasi dan cerita ku tanjung duren,https://food.grab.com/id/id/restaurant/nasta-nasi-dan-cerita-ku-tanjung-duren-delivery/6-CZLBR4CKC3AJE2?,Jakarta,4.8,1,2.0
142,mad bagel kuningan,https://food.grab.com/id/id/restaurant/mad-bagel-kuningan-delivery/6-CZMJRTCBL25ANX?,Jakarta,4.7,1,10.0
143,pizza krust karet kuningan,https://food.grab.com/id/id/restaurant/pizza-krust-karet-kuningan-delivery/6-C2KKMGLHVUWFLJ?,Jakarta,4.6,1,46.0
144,burger bangor pademangan timur,https://food.grab.com/id/id/restaurant/burger-bangor-pademangan-timur-delivery/6-C2AAL73CC7M3V2?,Jakarta,4.7,1,2.0
145,burgo bites tomang,https://food.grab.com/id/id/restaurant/burgo-bites-tomang-delivery/6-CZKHA2VUC3M2CT?,Jakarta,4.9,1,2.0
146,wicked pies chillax,https://food.grab.com/id/id/restaurant/wicked-pies-chillax-delivery/6-C3XHJT5ZJYUFKA?,Jakarta,4.3,1,2.0
147,my pizza kemanggisan,https://food.grab.com/id/id/restaurant/my-pizza-kemanggisan-delivery/6-CYUBJ7JUWF5XRJ?,Jakarta,4.6,1,47.0
148,pasta booth kebon sirih,https://food.grab.com/id/id/restaurant/pasta-booth-kebon-sirih-delivery/6-C25DTCM2WFKYVX?,Jakarta,,0,2.0
149,box in kuningan barat,https://food.grab.com/id/id/restaurant/box-in-kuningan-barat-delivery/6-CZLJELJYGX6UUA?,Jakarta,4.7,1,48.0
150,shahrazad turkish resto sudirman park,https://food.grab.com/id/id/restaurant/shahrazad-turkish-resto-sudirman-park-delivery/6-C2KBRK6HL6CAE2?,Jakarta,4.5,1,49.0
151,the buffalo petogogan,https://food.grab.com/id/id/restaurant/the-buffalo-petogogan-delivery/6-C3EJALJGAA5UC2?,Jakarta,4.5,1,15.0
152,topokki pojangmacha alfa midi bendungan jago 1 utan panjang,https://food.grab.com/id/id/restaurant/topokki-pojangmacha-alfa-midi-bendungan-jago-1-utan-panjang-delivery/6-CZNJRB4VTF6GLT?,Jakarta,5.0,1,32.0
153,la vera pizza thamrin residence,https://food.grab.com/id/id/restaurant/la-vera-pizza-thamrin-residence-delivery/6-C2V1JLEYG23EVA?,Jakarta,4.0,1,2.0
154,tjikinii lima cikini,https://food.grab.com/id/id/restaurant/tjikinii-lima-cikini-delivery/IDGFSTI00001za8?,Jakarta,4.7,1,2.0
155,rumah jajan pasto harapan mulya,https://food.grab.com/id/id/restaurant/rumah-jajan-pasto-harapan-mulya-delivery/6-C3TTTFNUFCKWMA?,Jakarta,5.0,1,2.0
156,old chang kee mangga dua square,https://food.grab.com/id/id/restaurant/old-chang-kee-mangga-dua-square-delivery/6-CY5HMEDZR7LKNE?,Jakarta,2.7,1,2.0
